P_NAME	GP	IP	WHIP	BB	K	R	ER	ERA
雷力	1	6.1	1.74	3	2	4	4	5.684
波拉斯	1	6	1	3	4	1	1	1.5
官大元	2	3.1	1.2	2	2	1	1	2.7
王鏡銘	2	2.1	0.43	1	1	0	0	0
羅納得	1	6	1.33	2	4	2	2	3
林正豐	1	1	1	1	2	0	0	0
陳煥揚	2	4.1	1.15	1	3	2	2	4.153
蔡明晉	1	3	0.67	1	0	0	0	0
陳正達	2	2	1	0	0	0	0	0
李風華	1	0.2	1.5	1	0	2	2	27
耿伯軒	1	1.1	1.5	2	1	0	0	0
林家瑋	2	1	0	0	0	0	0	0
陳鴻文	1	0.2	4.5	1	1	3	3	40.5
曾琮萱	1	0.2	1.5	1	2	0	0	0
羅錦龍	1	6	1.83	3	3	2	2	3
黃偉晟	2	2	3.5	4	0	4	4	18
吳明旭	1	3.1	1.2	2	0	0	0	0
江承峰	1	0.2	3	0	0	3	0	0
高建三	2	2.2	0.75	0	3	0	0	0
曾兆豪	1	5.1	2.06	2	3	3	3	5.062
