PL_NAME	PL_TEAM	PL_AGE	PL_NATION	PL_HAND	PL_POSITION
雷力	Lamigo	29	AMERICA	RIGHT	PITCH
波拉斯	Lamigo	32	AMERICA	LEFT	PITCH
官大元	兄弟	30	TAIWAN	RIGHT	PITCH
王鏡銘	統一	27	TAIWAN	RIGHT	PITCH
羅納得	統一	30	AMERICA	RIGHT	PITCH
林正豐	義大	31	TAIWAN	RIGHT	PITCH
陳煥揚	義大	28	TAIWAN	RIGHT	PITCH
蔡明晉	義大	29	TAIWAN	RIGHT	PITCH
陳正達	Lamigo	28	TAIWAN	RIGHT	PITCH
李風華	統一	38	TAIWAN	RIGHT	PITCH
耿伯軒	兄弟	29	TAIWAN	RIGHT	PITCH
林家瑋	Lamigo	26	TAIWAN	LEFT	PITCH
陳鴻文	兄弟	27	TAIWAN	RIGHT	PITCH
曾琮萱	Lamigo	26	TAIWAN	RIGHT	PITCH
羅錦龍	統一	28	TAIWAN	RIGHT	PITCH
黃偉晟	義大	23	TAIWAN	RIGHT	PITCH
吳明旭	兄弟	25	TAIWAN	RIGHT	PITCH
江承峰	統一	25	TAIWAN	RIGHT	PITCH
高建三	統一	40	TAIWAN	RIGHT	PITCH
曾兆豪	Lamigo	33	TAIWAN	RIGHT	PITCH
林智勝	Lamigo	31	TAIWAN	RIGHT	BAT
郭健瑜	兄弟	26	TAIWAN	RIGHT	BAT
陳鏞基	統一	30	TAIWAN	RIGHT	BAT
張志豪	兄弟	26	TAIWAN	LEFT	BAT
郭俊佑	統一	29	TAIWAN	RIGHT	BAT
林志祥	統一	26	TAIWAN	LEFT	BAT
高志綱	統一	32	TAIWAN	RIGHT	BAT
林琨笙	義大	26	TAIWAN	RIGHT	BAT
林泓育	Lamigo	27	TAIWAN	RIGHT	BAT
余德龍	Lamigo	25	TAIWAN	RIGHT	BAT
王勝偉	兄弟	29	TAIWAN	RIGHT	BAT
陳江和	兄弟	31	TAIWAN	RIGHT	BAT
鄭兆行	義大	36	TAIWAN	RIGHT	BAT
陳金鋒	Lamigo	36	TAIWAN	RIGHT	BAT
蘇建榮	義大	30	TAIWAN	RIGHT	BAT
郭嚴文	Lamigo	25	TAIWAN	LEFT	BAT
詹智堯	Lamigo	30	TAIWAN	LEFT	BAT
高國慶	統一	35	TAIWAN	RIGHT	BAT
黃仕豪	兄弟	30	TAIWAN	RIGHT	BAT
張建銘	義大	33	TAIWAN	LEFT	BAT
