ID	人名	樂器	所屬樂團
001	詹雯婷	vocal	FIR飛兒樂團
002	陳建寧	keyboard	FIR飛兒樂團
003	阿沁	guitar	FIR飛兒樂團
004	阿璞	vocal	八三么
005	小橘	keyboard	八三么
006	霸天	bass	八三么
007	劉逼	guitar	八三么
008	阿電	drummer	八三么
009	Chris	guitar	信樂團
010	曉華	bass	信樂團
011	湯米	keyboard	信樂團
012	邁可	drummer	信樂團
013	文傑	vocal	信樂團
014	阿信	vocal	五月天
015	怪獸	guitar	五月天
016	石頭	guitar	五月天
017	瑪莎	bass	五月天
018	冠佑	drummer	五月天
019	小玉	vocal	宇宙人
020	阿奎	guitar	宇宙人
021	方Q	bass	宇宙人
022	顏志琳	vocal	動力火車
023	尤秋興	vocal	動力火車
024	Selina	vocal	SHE
025	Hebe	vocal	SHE
026	Ella	vocal	SHE
027	臘筆	vocal	草莓救星
028	阿尼	guitar	草莓救星
029	啟泰	guitar	草莓救星
030	海棻	bass	草莓救星
031	滾滾	drummer	草莓救星
032	白瑋玲Yumi	vocal	BY2
033	白瑋芬Miko	vocal	BY2
034	Josh Ba	vocal	先知瑪莉
035	Roger Hsu	guitar	先知瑪莉
036	Fish Liu	bass	先知瑪莉
037	Eric Fang	drummer	先知瑪莉
038	李伯恩	vocal	自由發揮
039	昌璟翔	vocal	自由發揮
040	青峰	vocal	蘇打綠
041	馨儀	bass	蘇打綠
042	小威	drummer	蘇打綠
043	阿福	guitar	蘇打綠
044	家凱	guitar	蘇打綠
045	阿龔	piano	蘇打綠
046	黃牛	vocal	強辯樂團
047	小猴	drummer	強辯樂團
048	海狗	bass	強辯樂團
